number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0.845089799924045,2026-08-14 11:03:38.921732,2026-08-14 11:03:52.088508,0 days 00:00:13.166776,0.7700848837834018,0.03367259597483136,4,3,344,0.6301570044941375,COMPLETE
1,0.8345721541199422,2026-08-14 11:03:52.146498,2026-08-14 11:04:01.291266,0 days 00:00:09.144768,0.8155494628225592,0.10442510135288091,4,6,285,0.6982087963581032,COMPLETE
2,0.8502030027599021,2026-08-14 11:04:01.300793,2026-08-14 11:04:06.976734,0 days 00:00:05.675941,0.6069573741778548,0.015779087935422507,3,9,499,0.7186169783116393,COMPLETE
3,0.8466687438169759,2026-08-14 11:04:06.981735,2026-08-14 11:04:10.573175,0 days 00:00:03.591440,0.7869989586689374,0.04595092442769699,3,2,297,0.645517103494734,COMPLETE
4,0.8472436863041184,2026-08-14 11:04:10.576999,2026-08-14 11:04:14.281008,0 days 00:00:03.704009,0.9059272911105211,0.04560691706296825,3,7,294,0.6856676436535758,COMPLETE
5,0.8497206504395354,2026-08-14 11:04:14.285061,2026-08-14 11:04:16.340532,0 days 00:00:02.055471,0.7811789850348696,0.0650787186614695,2,6,163,0.6048234917926983,COMPLETE
6,0.8296322034374143,2026-08-14 11:04:16.346014,2026-08-14 11:04:20.776991,0 days 00:00:04.430977,0.7905285816051072,0.09249138434549743,5,3,310,0.7550619546288475,COMPLETE
7,0.8409667791535773,2026-08-14 11:04:20.782270,2026-08-14 11:04:25.568837,0 days 00:00:04.786567,0.637604648773925,0.07572819575457337,3,3,421,0.797601019028748,COMPLETE
8,0.8499692393419693,2026-08-14 11:04:25.573951,2026-08-14 11:04:29.791709,0 days 00:00:04.217758,0.7556277554908033,0.029638464536085186,2,6,404,0.9269783062663306,COMPLETE
9,0.8461854859669176,2026-08-14 11:04:29.800134,2026-08-14 11:04:33.556278,0 days 00:00:03.756144,0.6294888141787648,0.05204502744754967,3,5,335,0.7238041792538135,COMPLETE
10,0.8461354293210046,2026-08-14 11:04:33.560379,2026-08-14 11:04:40.794705,0 days 00:00:07.234326,0.9849739935863933,0.010448401342543436,6,10,498,0.993260453913107,COMPLETE
11,0.8504186809818114,2026-08-14 11:04:40.807733,2026-08-14 11:04:45.949461,0 days 00:00:05.141728,0.6938383592623483,0.017323120393426254,2,9,493,0.8796226289104945,COMPLETE
12,0.8500890652434826,2026-08-14 11:04:45.959170,2026-08-14 11:04:50.808022,0 days 00:00:04.848852,0.6869047467177061,0.014359087389832529,2,10,471,0.8545787768119177,COMPLETE
13,0.8477045012796687,2026-08-14 11:04:50.812742,2026-08-14 11:04:56.110576,0 days 00:00:05.297834,0.6983208209833597,0.019654419940841054,4,8,434,0.8614775377643294,COMPLETE
14,0.8391221409316397,2026-08-14 11:04:56.116001,2026-08-14 11:05:01.168307,0 days 00:00:05.052306,0.618046073198336,0.19944812391549205,2,9,484,0.8091066433992669,COMPLETE
15,0.849663168352466,2026-08-14 11:05:01.172664,2026-08-14 11:05:05.848717,0 days 00:00:04.676053,0.6926240068522123,0.020390147479114377,3,8,388,0.957177499833362,COMPLETE
